Number,English,IPA_Eng,Telugu,IPA_Telugu,Roman,PartOfSpeech,Category,English_Example,Telugu_Example
1302,cake,/keɪk/,కేకు,/ke.ku/,keku,Noun,Food,The cake is soft.,కేకు మృదువుగా ఉంది.
1303,call,/kɔːl/,కిలకిలాడటం,/ki.la.ki.la.a.dam/,kilakiladadam,Verb,Action,Call me later.,నన్ను సేపటి తరువాత కాల్ చేయి.
1304,came,/keɪm/,వచ్చింది,/ʃəm.plə/,wachachaindai,Noun,General,The came is important.,ఆ వచ్చింది ముఖ్యమైనది.
1305,camera,/ˈkæm(ə)rə/,కెమెరా,/ʃəm.plə/,kaemaeraaa,Noun,General,The camera is important.,ఆ కెమెరా ముఖ్యమైనది.
1306,campaign,/kæmˈpeɪn/,ప్రచారం,/ʃəm.plə/,parachaaaran,Noun,General,The campaign is important.,ఆ ప్రచారం ముఖ్యమైనది.
1307,can,/kæn/,చెయ్యగల,/che.yya.ga.la/,cheyyagala,Verb,Ability,I can swim.,నేను ఈదగలను.
1308,cancer,/ˈkænsər/,క్యాన్సర్,/ʃəm.plə/,kayaaanasara,Noun,General,The cancer is important.,ఆ క్యాన్సర్ ముఖ్యమైనది.
1309,candidate,/ˈkændɪdət/,అభ్యర్థి,/ʃəm.plə/,abhayarathai,Verb,Action,The candidate is important.,ఆ అభ్యర్థి ముఖ్యమైనది.
1310,cannot,/ˈkæn.ɒt/,చెయ్యలేను,/che.yya.le.nu/,cheyyalenu,Verb,Ability,I cannot sing.,నేను పాడలేను.
1311,capacity,/kəˈpæsɪti/,సామర్థ్యం,/ʃəm.plə/,saaamarathayan,Noun,General,The capacity is important.,ఆ సామర్థ్యం ముఖ్యమైనది.
1312,capital,/ˈkæp.ɪ.təl/,రాజధాని,/ra.ja.dhaa.ni/,raajadhaani,Noun,Place,Delhi is the capital.,ఢిల్లీ రాజధాని.
1313,car,/kɑːr/,కారు,/kaa.ru/,kaaru,Noun,Transport,I drive a car.,నేను కారు నడుపుతున్నాను.
1314,card,/kɑːd/,కార్డు,/kaar.du/,kaard,Noun,Finance,Swipe your card.,నీ కార్డు స్వైప్ చేయి.
1315,care,/kɛər/,జాగ్రత్త,/ʃəm.plə/,jaaagaratata,Noun,General,The care is important.,ఆ జాగ్రత్త ముఖ్యమైనది.
1316,career,/kəˈrɪər/,వృత్తి,/ʃəm.plə/,waritatai,Noun,General,The career is important.,ఆ వృత్తి ముఖ్యమైనది.
1317,carry,/ˈkæ.ri/,తీసుకెళ్ళు,/tee.su.ke.llu/,teesukellu,Verb,Action,Carry the bag.,బ్యాగ్ తీసుకెళ్ళు.
1318,case,/keɪs/,కేసు,/ʃəm.plə/,kaaisau,Noun,General,The case is important.,ఆ కేసు ముఖ్యమైనది.
1319,cash,/kæʃ/,నగదు,/na.ga.du/,nagadu,Noun,Finance,Take cash.,నగదు తీసుకో.
1320,cat,/kæt/,పిల్లి,/ʃəm.plə/,pailalai,Noun,General,The cat is important.,ఆ పిల్లి ముఖ్యమైనది.
1321,catch,/kætʃ/,పడుగు,/pa.du.gu/,padugu,Verb,Action,Catch the ball.,బంతిని పడుగు.
1322,cause,/kɔːz/,కారణం,/kaa.ra.nam/,kaarana,Noun,Reason,What is the cause?,కారణం ఏమిటి?
1323,cell,/sɛl/,కణం,/ʃəm.plə/,kanan,Noun,General,The cell is important.,ఆ కణం ముఖ్యమైనది.
1324,cent,/sɛnt/,శాతం,/ʃəm.plə/,shaaatan,Noun,General,The cent is important.,ఆ శాతం ముఖ్యమైనది.
1325,central,/ˈsɛntrəl/,కేంద్ర,/ʃəm.plə/,kaaindara,Adjective,Descriptor,The central is important.,ఆ కేంద్ర ముఖ్యమైనది.
1326,centre,/ˈsen.tər/,కేంద్రం,/ken.dram/,kendram,Noun,Place,Go to the centre.,కేంద్రం వెళ్ళు.
1327,century,/ˈsɛntʃ(ə)ri/,శతాబ్దం,/ʃəm.plə/,shataaabadan,Noun,General,The century is important.,ఆ శతాబ్దం ముఖ్యమైనది.
1328,certain,/ˈsɜːrt(ə)n/,ఖచ్చితంగా,/ʃəm.plə/,khachachaitangaaa,Noun,General,The certain is important.,ఆ ఖచ్చితంగా ముఖ్యమైనది.
1329,certainly,/ˈsɜːrt(ə)nli/,ఖచ్చితంగా,/ʃəm.plə/,khachachaitangaaa,Adverb,Modifier,The certainly is important.,ఆ ఖచ్చితంగా ముఖ్యమైనది.
1330,certificate,/sərˈtɪf.ɪ.kət/,సర్టిఫికేట్,/sa.rti.fi.ket/,certificate,Noun,Document,Get the certificate.,సర్టిఫికేట్ తీసుకో.
1331,chair,/tʃeər/,కుర్చీ,/kur.chee/,kurchee,Noun,Furniture,Sit on the chair.,కుర్చీ మీద కూర్చో.
1332,chalk,/tʃɔːk/,చాక్,/chaak/,chalk,Noun,Education,Use white chalk.,వైట్ చాక్ వాడు.
1333,challenge,/ˈtʃælɪndʒ/,సవాలు,/ʃəm.plə/,sawaaalau,Noun,General,The challenge is important.,ఆ సవాలు ముఖ్యమైనది.
1334,chance,/tʃæns/,అవకాశం,/ʃəm.plə/,awakaaashan,Noun,General,The chance is important.,ఆ అవకాశం ముఖ్యమైనది.
1335,change,/tʃeɪndʒ/,మార్చు,/maar.cu/,maarcu,Verb,Action,Change your clothes.,మీ దుస్తులను మార్చు.
1336,chapter,/ˈtʃæp.tər/,అధ్యాయం,/adh.yaa.yam/,adhyayam,Noun,Education,Read the chapter.,ఆధ్యాయం చదువు.
1337,character,/ˈkærəktər/,పాత్ర,/ʃəm.plə/,paaatara,Noun,General,The character is important.,ఆ పాత్ర ముఖ్యమైనది.
1338,charge,/tʃɑːrdʒ/,ఛార్జ్,/ʃəm.plə/,chaaaraja,Noun,General,The charge is important.,ఆ ఛార్జ్ ముఖ్యమైనది.
1339,chart,/tʃɑːrt/,చార్ట్/పత్రం,/chart/patram/,chart/patram,Noun,Objects,Draw a chart.,ఒక చార్ట్ గీయి.
1340,check,/tʃek/,తద్వారా చూసుకో,/tad.vaa.ra choo.su.ko/,tadvarachusuko,Verb,Action,Check the answer.,జవాబును చూసుకో.
1341,cheque,/tʃek/,చెక్,/chek/,cheque,Noun,Finance,Write a cheque.,చెక్ వ్రాయండి.
1342,chest,/tʃest/,ఛాతీ,/chaa.tee/,chaatee,Noun,Body,His chest is strong.,అతని ఛాతీ బలంగా ఉంది.
1343,chew,/tʃuː/,చప్పు,/chappu/,chappu,Verb,Action,Chew food.,ఆహారం చప్పు.
1344,child,/tʃaɪld/,పిల్ల,/pil.la/,pilla,Noun,People,The child is playing.,పిల్ల ఆటలు ఆడుతోంది.
1345,choice,/tʃɔɪs/,ఎంపిక,/ʃəm.plə/,enpaika,Noun,General,The choice is important.,ఆ ఎంపిక ముఖ్యమైనది.
1346,choose,/tʃuːz/,ఎంచుకో,/en.choo.ko/,enchuko,Verb,Action,Choose one.,ఒకటి ఎంచుకో.
1347,chop,/tʃɒp/,ముక్కలు చేయి,/mukkalu cheyi/,mukkalu cheyi,Verb,Action,Chop the onion.,ఉల్లిపై ముక్కలు చేయి.
1348,church,/tʃɜːrtʃ/,చర్చ్,/char.ch/,church,Noun,Place,The church is old.,చర్చ్ పాతది.
1349,citizen,/ˈsɪtɪz(ə)n/,పౌరుడు,/ʃəm.plə/,paouraudau,Noun,General,The citizen is important.,ఆ పౌరుడు ముఖ్యమైనది.
1350,city,/ˈsɪt.i/,నగరం,/na.ga.ram/,nagaram,Noun,Place,Hyderabad is a city.,హైద‌రాబాద్‌ ఒక నగరం.
1351,civil,/ˈsɪv(ə)l/,పౌర,/ʃəm.plə/,paoura,Noun,General,The civil is important.,ఆ పౌర ముఖ్యమైనది.
1352,claim,/kleɪm/,దావా,/ʃəm.plə/,daaawaaa,Noun,General,The claim is important.,ఆ దావా ముఖ్యమైనది.
1353,clap,/klæp/,చప్పట్లు కొట్టు,/cha.p.pa.tlu ko.t.tu/,chappatlu kottu,Verb,Action,Please clap.,దయచేసి చప్పట్లు పెట్టండి.
1354,class,/klɑːs/, తరగతి,/ta.ra.ga.ti/,taragati,Noun,Education,Attend the class.,తరగతికి హాజరు కావాలి.
1355,classroom,/ˈklɑːs.ruːm/,తరగతి గది,/tara.ga.ti ga.di/,taragati gadi,Noun,Place,The classroom is big.,తరగతిగది పెద్దది.
1356,clean,/kliːn/,శుభ్రపరచు,/shu.bhra.pa.ra.chu/,shubhraparachu,Verb,Action,Clean the house.,ఇల్లు శుభ్రపరచు.
1357,clear,/klɪər/,స్పష్టమైన,/ʃəm.plə/,sapashatamaైna,Noun,General,The clear is important.,ఆ స్పష్టమైన ముఖ్యమైనది.
1358,clearly,/ˈklɪərli/,స్పష్టంగా,/ʃəm.plə/,sapashatangaaa,Adverb,Modifier,The clearly is important.,ఆ స్పష్టంగా ముఖ్యమైనది.
1359,clock,/klɒk/,గడియారం,/ga.di.yaa.ram/,gadiyaram,Noun,Objects,The clock shows time.,గడియారం సమయం చూపిస్తుంది.
1360,close,/kləʊz/,మూయి,/moo.yi/,mooyi,Verb,Action,Close the door.,తలుపు మూయి.
1361,club,/klʌb/,క్లబ్,/ʃəm.plə/,kalaba,Noun,General,The club is important.,ఆ క్లబ్ ముఖ్యమైనది.
1362,coach,/kəʊtʃ/,కోచ్,/ʃəm.plə/,kaohcha,Noun,General,The coach is important.,ఆ కోచ్ ముఖ్యమైనది.
1363,coffee,/ˈkɒ.fi/,కాఫీ,/kaa.fi/,kaafi,Noun,Food,Coffee is hot.,కాఫీ వేడి ఉంది.
1364,coin,/kɔɪn/,నాణెం,/naa.ne.m/,naaneam ,Noun,Finance,Give coins.,నాణేలు ఇవ్వి.
1365,cold,/kəʊld/,చల్లని,/cha.la.ni/,challani,Adjective,Weather,The milk is cold.,పాలు చల్లగా ఉన్నాయి.
1366,collection,/kəˈlɛkʃ(ə)n/,సేకరణ,/ʃəm.plə/,saaikarana,Noun,General,The collection is important.,ఆ సేకరణ ముఖ్యమైనది.
1367,college,/ˈkɒl.ɪdʒ/,కళాశాల,/ka.laa.sha.la/,kalaashala,Noun,Place,He studies in college.,అతను కళాశాలలో చదువుతున్నాడు.
1368,color,/ˈkʌl.ər/,రంగు,/ran.gu/,rangu,Noun,Description,What color is this?,ఇది ఏ రంగు?
1369,colour,/ˈkʌl.ər/,రంగు వాడు,/raŋ.gu vaa.du/,rangu vaadu,Verb,Action,Colour the flower.,పువ్వు రంగు వాడు.
1370,come,/kʌm/,రా,/raa/,raa,Verb,Action,Please come here.,ఇక్కడ రా.
1371,come in,/kʌm ɪn/,లోపల రా,/lo.pa.la raa/,lopala raa,Verb,Action,Come in please., దయచేసి లోపల రా.
1372,command,/kəˈmɑːnd/,ఆదేశం,/aa.de.sam/,aadesam,Noun,Action,Give a command.,ఆదేశం ఇవ్వు.
1373,commercial,/kəˈmɜːrʃ(ə)l/,వాణిజ్య,/ʃəm.plə/,waaanaijaya,Adjective,Descriptor,The commercial is important.,ఆ వాణిజ్య ముఖ్యమైనది.
1374,common,/ˈkɒmən/,సాధారణ,/ʃəm.plə/,saaadhaaarana,Adjective,Descriptor,The common is important.,ఆ సాధారణ ముఖ్యమైనది.
1375,community,/kəˈmjuːnɪti/,సంఘం,/ʃəm.plə/,sanghan,Noun,General,The community is important.,ఆ సంఘం ముఖ్యమైనది.
1376,company,/ˈkʌmp(ə)ni/,సంస్థ,/ʃəm.plə/,sansatha,Noun,General,The company is important.,ఆ సంస్థ ముఖ్యమైనది.
1377,compare,/kəmˈpɛər/,పోల్చు,/ʃəm.plə/,paohlachau,Noun,General,The compare is important.,ఆ పోల్చు ముఖ్యమైనది.
1378,complete,/kəmˈpliːt/,పూర్తి,/ʃəm.plə/,pauuratai,Noun,General,The complete is important.,ఆ పూర్తి ముఖ్యమైనది.
1379,computer,/kəmˈpjuː.tər/,కంప్యూటర్,/kam.pyu.tar/,computer,Noun,Objects,This computer is fast.,ఈ కంప్యూటర్ వేగంగా ఉంది.
1380,concept,/ˈkɒnsɛpt/,భావన,/ʃəm.plə/,bhaaawana,Noun,General,The concept is important.,ఆ భావన ముఖ్యమైనది.
1381,concern,/kənˈsɜːrn/,ఆందోళన,/ʃəm.plə/,aandaohlana,Noun,General,The concern is important.,ఆ ఆందోళన ముఖ్యమైనది.
1382,conclusion,/kənˈkluː.ʒən/,ముగింపు,/mu.gim.pu/,mugimpu,Noun,Language,Give the conclusion.,ముగింపుని చెప్పు.
1383,condition,/kənˈdɪʃ(ə)n/,పరిస్థితి,/ʃəm.plə/,paraisathaitai,Noun,General,The condition is important.,ఆ పరిస్థితి ముఖ్యమైనది.
1384,conduct,/kənˈdʌkt/,ప్రవర్తన,/ʃəm.plə/,parawaratana,Noun,General,The conduct is important.,ఆ ప్రవర్తన ముఖ్యమైనది.
1385,conference,/ˈkɒnf(ə)rəns/,సమావేశం,/ʃəm.plə/,samaaawaaishan,Noun,General,The conference is important.,ఆ సమావేశం ముఖ్యమైనది.
1386,Congress,/ˈkɑŋ.ɡɹəs/,కాంగ్రెస్,/kaːŋɡres/,kāṅgres,Proper Noun,Organization > Political,The bill must be approved by Congress.,ఈ బిల్లుకు కాంగ్రెస్ ఆమోదం తెలపాలి.
1387,consent,/kənˈsent/,ఒప్పందం,/op.pan.da.m/,oppandam,Noun,Approval,Give your consent.,ఒప్పందం ఇవ్వు.
1388,consequence,/ˈkɒnsɪkwəns/,పర్యవసానం,/ʃəm.plə/,parayawasaaanan,Noun,General,The consequence is important.,ఆ పర్యవసానం ముఖ్యమైనది.
1389,consider,/kənˈsɪdər/,పరిగణించు,/ʃəm.plə/,paraiganainchau,Verb,Action,The consider is important.,ఆ పరిగణించు ముఖ్యమైనది.
1390,consumer,/kənˈsjuːmər/,వినియోగదారుడు,/ʃəm.plə/,wainaiyaohgadaaaraudau,Noun,General,The consumer is important.,ఆ వినియోగదారుడు ముఖ్యమైనది.
1391,contain,/kənˈteɪn/,కలిగి,/ʃəm.plə/,kalaigai,Noun,General,The contain is important.,ఆ కలిగి ముఖ్యమైనది.
1392,continue,/kənˈtɪnjuː/,కొనసాగించు,/ʃəm.plə/,kaonasaaagainchau,Verb,Action,The continue is important.,ఆ కొనసాగించు ముఖ్యమైనది.
1393,control,/kənˈtrəʊl/,నియంత్రణ,/ʃəm.plə/,naiyantarana,Noun,General,The control is important.,ఆ నియంత్రణ ముఖ్యమైనది.
1394,conversation,/ˌkɒn.vəˈseɪ.ʃən/,సంవాదం,/sam.vaa.dam/,samvadam,Noun,Communication,Have a conversation.,సంవాదం జరుపుకో.
1395,cook,/kʊk/,వండు,/va.n.du/,vandu,Verb,Action,Cook rice.,అన్నం వండి.
1396,cool,/kuːl/,తడిగా చేయి,/tadiga cheyi/,tadeega cheyi,Verb,Action,Cool the milk.,పాలను చల్లగా చేయి.
1397,copy,/ˈkɒpi/,నకలు తీసుకో,/na.ka.lu tee.su.ko/,nakalu teesuko,Verb,Action,Copy the text.,పాఠ్యాన్ని నకలు తీసుకో.
1398,corner,/ˈkɔː.nər/,మూలా,/moo.la/,moola,Noun,Place,Stand in the corner.,మూలలో నిలబడు.
1399,correct,/kəˈrekt/,సరిగ్గా,/sa.ri.gga/,sarigga,Adjective,Quality,Give the correct answer.,సరైన సమాధానం ఇవ్వండి.
1400,cost,/kɒst/,ధర,/dha.ra/,dhara,Noun,Money,What is the cost?,ధర ఎంత?
1401,could,/kʊd/,చేయగలిగింది,/ʃəm.plə/,chaaiyagalaigaindai,Noun,General,The could is important.,ఆ చేయగలిగింది ముఖ్యమైనది.
1402,count,/kaʊnt/,లెక్కించు,/le.kin.chu/,lekinchu,Verb,Action,Count the apples.,ఆపిల్స్ లెక్కించు.
1403,country,/ˈkʌntri/,దేశం,/de.sa.m/,desam,Noun,Place,India is a country.,భారత దేశం.
1404,couple,/ˈkʌp(ə)l/,జంట,/ʃəm.plə/,janta,Noun,General,The couple is important.,ఆ జంట ముఖ్యమైనది.
1405,course,/kɔːrs/,కోర్సు,/ʃəm.plə/,kaohrasau,Noun,General,The course is important.,ఆ కోర్సు ముఖ్యమైనది.
1406,court,/kɔːrt/,కోర్టు,/ʃəm.plə/,kaohratau,Noun,General,The court is important.,ఆ కోర్టు ముఖ్యమైనది.
1407,cover,/ˈkʌvə/,కప్పు,/kap.pu/,kappu,Verb,Action,Cover the pot.,పాన్ కప్పు పెట్టు.
1408,create,/kriˈeɪt/,సృష్టించు,/srishtinchu/,srishtinchu,Verb,Action,Create a model.,ఒక నమూనాను సృష్టించు.
1409,crime,/kraɪm/,నేరం,/ʃəm.plə/,naairan,Noun,General,The crime is important.,ఆ నేరం ముఖ్యమైనది.
1410,cross,/krɒs/,క్రాస్ పెట్టు,/kraas pe.t.tu/,kraas pettu,Verb,Action,Cross the wrong answer.,తప్పు సమాధానానికి క్రాస్ పెట్టు.
1411,cry,/kraɪ/,ఏడ్చు,/ed.chu/,edchu,Verb,Emotion,Don't cry.,ఏడవకు.
1412,cultural,/ˈkʌltʃ(ə)rəl/,సాంస్కృతిక,/ʃəm.plə/,saaansakaritaika,Adjective,Descriptor,The cultural is important.,ఆ సాంస్కృతిక ముఖ్యమైనది.
1413,culture,/ˈkʌltʃər/,సంస్కృతి,/ʃəm.plə/,sansakaritai,Noun,General,The culture is important.,ఆ సంస్కృతి ముఖ్యమైనది.
1414,cup,/kʌp/,కప్పు,/kap.pu/,kappu,Noun,Objects,Drink tea in a cup.,కప్పులో టీ తాగు.
1415,current,/ˈkɜːrənt/,ప్రస్తుత,/ʃəm.plə/,parasatauta,Noun,General,The current is important.,ఆ ప్రస్తుత ముఖ్యమైనది.
1416,customer,/ˈkʌs.tə.mər/,వినియోగదారు,/vi.ni.yo.ga.daa.ru/,viniyogadaaru,Noun,People,Serve the customer.,వినియోగదారుడిని సేవించు.
1417,cut,/kʌt/,కట్ చేయి,/kat che.yi/,kat cheyi,Verb,Action,Cut the paper.,కాగితం కట్ చేయి.
1418,cycle,/ˈsaɪ.kəl/,సైకిల్,/sai.kil/,saikil,Noun,Transport,I have a cycle.,నాకు సైకిల్ ఉంది.
1419,dad,/dæd/,నాన్న,/ʃəm.plə/,naaanana,Noun,General,The dad is important.,ఆ నాన్న ముఖ్యమైనది.
1420,damage,/ˈdæm.ɪdʒ/,నష్టం చేయి,/nashtam cheyi/,nashtam cheyi,Verb,Action,Don’t damage.,నష్టం చేయకు.
1421,dance,/dæns/,నాట్యం చేయి,/naa.tyam che.yi/,naatyam cheyi,Verb,Action,Dance well.,బాగా నాట్యం చేయు.
1422,dark,/dɑːrk/,చీకటి,/ʃəm.plə/,chaeekatai,Adjective,Descriptor,The dark is important.,ఆ చీకటి ముఖ్యమైనది.
1423,data,/ˈdeɪtə/,సమాచారం,/ʃəm.plə/,samaaachaaaran,Noun,General,The data is important.,ఆ సమాచారం ముఖ్యమైనది.
1424,daughter,/ˈdɔːtər/,కుమార్తె,/d̪u.ɡa/,kaumaaaratae,Noun,Family,My daughter is beautiful.,నా కూతురు అందంగా ఉంది.
1425,day,/deɪ/,రోజు,/ro.ju/,roju,Noun,Time,Today is a good day.,ఈ రోజు మంచి రోజు.
1426,dead,/ded/,చావు,/chaa.vu/,chaavu,Adjective,Condition,The plant is dead.,గడ్డి చనిపోయింది.
1427,deal,/diːl/,ఒప్పందం,/ʃəm.plə/,opapandan,Adjective,Descriptor,The deal is important.,ఆ ఒప్పందం ముఖ్యమైనది.
1428,dear,/dɪər/,ప్రియమైన,/pri.ya.mi.na/,priyamina,Adjective,Quality,Dear friend.,ప్రియమైన స్నేహితుడు.
1429,death,/dɛθ/,మరణం,/ʃəm.plə/,maranan,Noun,General,The death is important.,ఆ మరణం ముఖ్యమైనది.
1430,debate,/dɪˈbeɪt/,వివాదం,/vi.vaa.dam/,vivaadam,Noun,Communication,Join the debate.,వివాదంలో పాల్గొను.
1431,decade,/ˈdɛkeɪd/,దశాబ్దం,/ʃəm.plə/,dashaaabadan,Noun,General,The decade is important.,ఆ దశాబ్దం ముఖ్యమైనది.
1432,decide,/dɪˈsaɪd/,నిర్ణయించు,/ni.rn.yai.ncu/,nirnayinchhu,Verb,Action,Decide soon.,త్వరగా నిర్ణయించు.
1433,decision,/dɪˈsɪʒ(ə)n/,నిర్ణయం,/ʃəm.plə/,nairanayan,Noun,General,The decision is important.,ఆ నిర్ణయం ముఖ్యమైనది.
1434,decline,/dɪˈklaɪn/,క్షీణత,/ʃəm.plə/,kashaeenata,Noun,General,The decline is important.,ఆ క్షీణత ముఖ్యమైనది.
1435,decrease,/dɪˈkriːs/,తగ్గుదల,/ʃəm.plə/,tagagaudala,Noun,General,The decrease is important.,ఆ తగ్గుదల ముఖ్యమైనది.
1436,deep,/diːp/,లోతైన,/ʃəm.plə/,laohtaైna,Noun,General,The deep is important.,ఆ లోతైన ముఖ్యమైనది.
1437,defense,/dɪˈfɛns/,రక్షణ,/ʃəm.plə/,rakashana,Noun,General,The defense is important.,ఆ రక్షణ ముఖ్యమైనది.
1438,define,/dɪˈfaɪn/,నిర్వచించు,/nir.va.chin.chu/,nirvachinchu,Verb,Language,Define the term.,ఈ పదాన్ని నిర్వచించు.
1439,definition,/ˌdef.ɪˈnɪʃ.ən/,నిర్వచనం,/nir.va.cha.nam/,nirvachanam,Noun,Language,Read the definition.,నిర్వచనం చదువు.
1440,degree,/ˈdiː.ɡriː/,డిగ్రీ,/degree/,degree,Noun,Education,He finished degree.,అతను డిగ్రీ పూర్తిచేసాడు.
1441,delete,/dɪˈliːt/,తొలగించు,/to.la.gin.chu/,tolaginchu,Verb,Action,Delete the word.,పదాన్ని తొలగించు.
1442,Democrat,/ˈdɛm.əˌkɹæt/,డెమొక్రాట్,/ɖemokraːʈ/,ḍemokrāṭ,Noun,Person > Political,He is a registered Democrat.,అతను ఒక నమోదిత డెమొక్రాట్.
1443,democratic,/ˌdɛməˈkrætɪk/,ప్రజాస్వామ్య,/ʃəm.plə/,parajaaasawaaamaya,Adjective,Descriptor,The democratic is important.,ఆ ప్రజాస్వామ్య ముఖ్యమైనది.
1444,depart,/dɪˈpɑːt/,పెళ్లిపోవడం,/pel.li.po.va.dam/,pellipovadam,Verb,Action,Depart at 6 pm.,ఆరు గంటలకు రవాణా చేయు.
1445,deposit,/dɪˈpɒzɪt/,జమ చేయు,/jama cheyu/,jama cheyu,Verb,Finance,Deposit the money.,డబ్బు జమ చేయు.
1446,describe,/dɪˈskraɪb/,వర్ణించు,/var.nin.cu/,varninchu,Verb,Action,Describe the scene.,సన్నివేశం వివరించు.
1447,design,/dɪˈzaɪn/,డిజైన్ చేయి,/di.za.in che.yi/,design cheyi,Verb,Action,Design a house.,ఇల్లు డిజైన్ చేయి.
1448,desire,/dɪˈzaɪər/,ఆసక్తి,/aa.sa.krti/,aasakti,Noun,Feeling,She has desire.,ఆమెకి ఆసక్తి ఉంది.
1449,desk,/desk/,డెస్క్,/desk/,desk,Noun,Furniture,The desk is clean.,డెస్క్ శుభ్రంగా ఉంది.
1450,despite,/dɪˈspaɪt/,అయినప్పటికీ,/ʃəm.plə/,ayainapapataikaee,Noun,General,The despite is important.,ఆ అయినప్పటికీ ముఖ్యమైనది.
1451,destroy,/dɪˈstrɔɪ/,నాశనం చేయి,/naa.sha.nam che.yi/,naashanam cheyi,Verb,Action,Destroy the old house.,ఓ పాత ఇల్లు ధ్వంసం చేయి.
1452,detail,/ˈdiːteɪl/,వివరం,/ʃəm.plə/,waiwaran,Noun,General,The detail is important.,ఆ వివరం ముఖ్యమైనది.
1453,details,/ˈdiː.teɪlz/,వివరాలు,/vi.va.ralu/,vivaralu,Noun,Information,Check the details.,వివరాలు చూడండి.
1454,determine,/dɪˈtɜːrmɪn/,నిర్ణయించు,/ʃəm.plə/,nairanayainchau,Noun,General,The determine is important.,ఆ నిర్ణయించు ముఖ్యమైనది.
1455,develop,/dɪˈvel.əp/,అభివృద్ధి చెందు,/ab.hi.vr.ddhi chen.du/,abhivruddhi chendu,Verb,Action,Develop skills.,నైపుణ్యాలను అభివృద్ధి చేయి.
1456,development,/dɪˈvɛləpmənt/,అభివృద్ధి,/ʃəm.plə/,abhaiwaridadhai,Noun,General,The development is important.,ఆ అభివృద్ధి ముఖ్యమైనది.
1457,diagram,/ˈdaɪ.ə.ɡræm/,రేఖాచిత్రం,/rekhaa.chitram/,rekhaachitram,Noun,Objects,Draw a diagram.,రేఖాచిత్రం గీయి.
1458,did,/dɪd/,చేసింది,/ʃəm.plə/,chaaisaindai,Noun,General,The did is important.,ఆ చేసింది ముఖ్యమైనది.
1459,die,/daɪ/,చనిపోవు,/ʃəm.plə/,chanaipaohwau,Verb,Action,The die is important.,ఆ చనిపోవు ముఖ్యమైనది.
1460,difference,/ˈdɪf(ə)rəns/,తేడా,/ʃəm.plə/,taaidaaa,Noun,General,The difference is important.,ఆ తేడా ముఖ్యమైనది.
1461,different,/ˈdɪf(ə)rənt/,విభిన్న,/ʃəm.plə/,waibhainana,Noun,General,The different is important.,ఆ విభిన్న ముఖ్యమైనది.
1462,difficult,/ˈdɪf.ɪ.kəlt/,కష్టం,/kaṣ.taṁ/,kashtam,Adjective,Quality,This is difficult.,ఇది కష్టం.
1463,dig,/dɪɡ/,త్రవ్వు,/ʃəm.plə/,tarawawau,Noun,General,The dig is important.,ఆ త్రవ్వు ముఖ్యమైనది.
1464,dinner,/ˈdɪn.ər/,రాత్రి భోజనం,/raatri bhojanam/,ratribhojanam,Noun,Food,Dinner is at night.,రాత్రి భోజనం రాత్రి సమయంలో.
1465,direction,/d(a)ɪˈrɛkʃ(ə)n/,దిశ,/ʃəm.plə/,daisha,Noun,General,The direction is important.,ఆ దిశ ముఖ్యమైనది.
1466,director,/d(a)ɪˈrɛktər/,దర్శకుడు,/ʃəm.plə/,darashakaudau,Noun,General,The director is important.,ఆ దర్శకుడు ముఖ్యమైనది.
1467,dirty,/ˈdɜː.ti/,గందరగోళం,/gan.da.ra.go.la/,gandaragola,Adjective,Quality,The floor is dirty.,నేల గందరగోళంగా ఉంది.
1468,disagree,/ˌdɪs.əˈɡriː/,ఒప్పుకోను,/op.pu.ko.nu/,oppukonu,Verb,Action,I disagree.,నేను ఒప్పుకోను.
1469,discount,/ˈdɪs.kaʊnt/,డిస్కౌంట్,/discount/,discount,Noun,Money,Ask for discount.,డిస్కౌంట్ అడుగు.
1470,discover,/dɪˈskʌv.ər/,నిర్వచించు,/nir.va.chi.ncu/,nirvachinchu,Verb,Action,Discover new things.,కొత్త విషయాలు కనుగొను.
1471,discuss,/dɪˈskʌs/,చర్చించు,/char.cin.cu/,charcinchu,Verb,Action,Discuss the topic.,విషయంపై చర్చించు.
1472,discussion,/dɪˈskʌʃ.ən/,చర్చ,/char.cha/,charcha,Noun,Communication,Have a discussion.,చర్చ జరుపుకో.
1473,disease,/dɪˈziːz/,వ్యాధి,/ʃəm.plə/,wayaaadhai,Noun,General,The disease is important.,ఆ వ్యాధి ముఖ్యమైనది.
1474,display,/dɪˈspleɪ/,ప్రదర్శించు,/pra.dar.sin.chu/,pradarshinchhu,Verb,Action,Display your results.,నీ ఫలితాలు ప్రదర్శించు.
1475,dispute,/dɪˈspjuːt/,వివాదం,/vi.vaa.dam/,vivaadam,Noun,Dispute,Settle the dispute.,వివాదాన్ని పరిష్కరించు.
1476,divide,/dɪˈvaɪd/,విభజించు,/vi.bha.jin.cu/,vibhajinchu,Verb,Action,Divide into parts.,భాగాలుగా విడగొట్టు.
1477,do,/duː/,చేయి,/che.yi/,cheyi,Verb,Action,Do your work.,మీ పని చేయండి.
1478,doctor,/ˈdɒktər/,వైద్యుడు,/ʃəm.plə/,waైdayaudau,Noun,General,The doctor is important.,ఆ వైద్యుడు ముఖ్యమైనది.
1479,document,/ˈdɒk.jʊ.mənt/,పత్రం,/pa.tra.m/,patram,Noun,Object,Submit the document.,పత్రం సమర్పించు.
